hash,block_time,trade_usd,router_to,router_version,calldata_profile,selector,fee_recipient,fee_recipients,fee_token,fee_tokens,decode_method,flags,dst_receiver,error
0xf28a0238c42c7c4d8c1cf3699db3ee1ecb01d2cafa9b3896b6639f156fbe19e3,2025-09-30 23:34:47.000 UTC,1233.963396566999,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xdc3e1e07dc7f57f9bca42a6f521d5ebfdc8f93fa,0xdc3e1e07dc7f57f9bca42a6f521d5ebfdc8f93fa,,,route:4c8c09+token+fee,0,0x15160451a7a75f33404a682537ea7d94f9f69213,
0x2a0f3daebf034bb4403d2f5f3db99173b34fc351f220f372856cfed607fc2cc8,2025-09-30 22:15:23.000 UTC,1707.46125,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x22b45330b515af666802291700ec9370187b39cc,
0x252d55be63e642265423c714823098afbafa9af520e36fd988e70e4c9a1f478b,2025-09-30 22:04:23.000 UTC,1147.8998519149998,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0xadf5e32eb413e62dc072aa5fd12f19a115ac3c12,
0x941311ea248d8bf74e59b955de05ee1c92fe5985937a4931d2301fbd8934f924,2025-09-30 21:28:35.000 UTC,124.850865527818,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,route:4c8c09+token+fee,4,0xf3d1c628713de49b73ed476b6ad24ceaf46d8466,
0xdd6647fab9e9eef6852c0e474b37eaaa842e32e59c406283c65b5df3735ebb35,2025-09-30 21:26:35.000 UTC,99.62415911873133,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0x4a220e6096b25eadb88358cb44068a3248254675,0x4a220e6096b25eadb88358cb44068a3248254675,route:4c8c09+token+fee,0,0xe36424fc94dbaba7e05e5fa7792aa1e50d8bbb31,
0xddfd898fbabf1f8a161546c3eb4e2ef9d58ee2f47a3fa979b4a213990301b29c,2025-09-30 21:25:23.000 UTC,125.99070107142416,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,route:4c8c09+token+fee,4,0x3d2fd228c3d955e75c126280eb01cfb6b4f5d8aa,
0x55f920415220d1fcc74660bbba981ad124abd8f18ea315a1b180d693f38ac2ab,2025-09-30 21:24:35.000 UTC,30.391285259514,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,,,route:4c8c09+token+fee,0,0x888e8e33679cdb6c63644a287278099c4ee498c0,
0xd710dc7980c32c9ae5bfb515c7a2853f7b7c229e3e9bc3e9849b68a11368ef73,2025-09-30 21:24:23.000 UTC,1.487151030038854,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xdc3e1e07dc7f57f9bca42a6f521d5ebfdc8f93fa,0xdc3e1e07dc7f57f9bca42a6f521d5ebfdc8f93fa,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,route:4c8c09+token+fee,0,0xcbc5c66c9099efe8fb8a5eff4f4078cff70b81a1,
0x6d266c4a9b713e364b8db1e06336d913aa0e4eb759e4a075c0667f9329f3cca4,2025-09-30 21:24:23.000 UTC,20.240129283462004,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0xcdb5af4901641fa0080031a839a3b75dbcfe6e1d,
0xceeb9c90275235623f174464209407e65e98351b7109cb013397c86d6ab650b6,2025-09-30 21:23:47.000 UTC,1000.1363961927884,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0xf864b85274160427f94f5abf6765c639f693e054,
0x37263fb91f8e5abf0688c01b0fb910d5d215889d64d6c6026e957c8bf7e80310,2025-09-30 21:23:23.000 UTC,495.05028322141385,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,route:4c8c09+token+fee,0,0x74d22f65b1eedd7b2646745c6589aba897f0a146,
0x293e8c53e1e581799d2e35cc95b9f7797377eff6b4cc2d0a18a3f842bbe215c0,2025-09-30 21:23:23.000 UTC,324.1664243331602,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0xb4f34d09124b8c9712957b76707b42510041ecbb,0xb4f34d09124b8c9712957b76707b42510041ecbb;0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,route:25b0d0+token+fee;route:amount8+fee+pad8,4,0xa665c167b589f1d402ab318eb632c05b2d3c87cf,
0xcba4f6de02bebe5c0925cfe54d62fd926357c6391d940895412247c26f5cb826,2025-09-30 21:22:59.000 UTC,20.818890285336,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,,,route:4c8c09+token+fee,0,0xd0962d636ceb25299c7110b48fe3a9de1e9360d5,
0x853e9358d3648e59c12bb321fa07b5fee7e7c9ac0a803328de3af16c9bc8d45d,2025-09-30 21:22:59.000 UTC,232.71730957827,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x90352913319148027420a775422ad50c9b55642c,
0x310bf5b03d62f868e255615066e45320767da9d0004c707b46996a41daef1c35,2025-09-30 21:22:35.000 UTC,79.986823075467,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x133b3d9ad5e8bd3df1976e3f9f4b3adf23695c30,
0x791af240b4e446bbeb7c88b6e3d3ca6c99b46a402b94b6394d66f6e25de8203a,2025-09-30 21:21:11.000 UTC,57.81781101817096,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0x000006c2a22ff4a44ff1f5d0f2ed65f781f55555,0x000006c2a22ff4a44ff1f5d0f2ed65f781f55555,route:4c8c09+token+fee,0,0x361af30bd339bf6cc576e6bc1e22cd5f210a3c9e,
0x395a727862107df69a5947ed2968395f46a8a1819eca1f159d08012cc54fc61d,2025-09-30 21:20:23.000 UTC,89.17501577052,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,,,route:4c8c09+token+fee,0,0x535045b48aa3f17d29184890c882d11a4072bc81,
0x2be746bc0352db136444cd4afe8fd1079ac8cc0cd6d3ec44ae18a0a665f38a0d,2025-09-30 21:19:23.000 UTC,30.940279523068018,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x9e18d5bab2fa94a6a95f509ecb38f8f68322abd3,0x9e18d5bab2fa94a6a95f509ecb38f8f68322abd3,route:4c8c09+token+fee,4,0xe32da4a3c8472a76ad9b5eb11f83fa74dc7b3ed2,
0x75373574b59e09cc106e3bdcd1338e0daf5a089d118098724a60ac5bf574f7e0,2025-09-30 21:19:23.000 UTC,247.61378999717104,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,,,route:4c8c09+token+fee,0,0xf3786341ddfc33bd31509dbde891f3de3c7f5c73,
0x1f6073fd6a263c836dc1c6e334801ddff02932723e114765479a1bb35394b9a0,2025-09-30 21:19:11.000 UTC,106.59326299808,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xb1f05c103cdd519e9f9785cda23c03635a598be4,,,route:4c8c09+token+fee,0,0xd62b66fa14214f92b1f708b2469bc48383355388,
0xab81b112ffe2899e37d0042981aeacc8107c839958a0fa6e9583b838447e9b13,2025-09-30 21:18:47.000 UTC,105.09726775338501,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0x66a1e37c9b0eaddca17d3662d6c05f4decf3e110,0x66a1e37c9b0eaddca17d3662d6c05f4decf3e110,route:4c8c09+token+fee,0,0x6d8be986f1f0a5756912612a33f2157ed4b708a5,
0xd763c805b4e2419631f2eec5bb20dd0c23d1837b676160280198347ac5a7a9c6,2025-09-30 21:17:11.000 UTC,262.035677112816,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,route:4c8c09+token+fee,0,0x84bfe15825d4357cb01ebdb2bed19edae3aefccf,
0x41a93785386a0a206a2196606d984156caa75aa51d146857b23e96e3d1dd3e28,2025-09-30 21:15:11.000 UTC,22.399105265801243,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0x7c1156e515aa1a2e851674120074968c905aaf37,0x7c1156e515aa1a2e851674120074968c905aaf37,route:4c8c09+token+fee,0,0xfd14a41e18caedae2fb72449d479baba1665f593,
0x709f8e0f0fa53dd8d35782e42c3723a7fa6cd2f59ee9b255954ff8f63c43a5f7,2025-09-30 21:14:59.000 UTC,29.395668658113618,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xc08512927d12348f6620a698105e1baac6ecd911,0xc08512927d12348f6620a698105e1baac6ecd911,route:4c8c09+token+fee,4,0x326ef613faf859309f25278740b3ee6be739245c,
0x3199daaae735c51b5e1de27021776dfb3f72894337700d533223886987adee11,2025-09-30 21:14:23.000 UTC,248.3136934059007,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,route:4c8c09+token+fee,4,0xb13d0b776b636dce0cd02797bdd2956bde1db359,
0x2a571d42b6f4244e0f7cf104c0cbf301afc8edcd032d79bb6f25a583138d6387,2025-09-30 21:13:47.000 UTC,1352.2106324678002,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x29cf8c8ce837597c87c73f71216d0e1afe817786,
0x6d4b3f38f37c6ccea5c3107ced5363c1ddb4d2263a937111547c343420915fb0,2025-09-30 21:12:47.000 UTC,168.971098183948,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xc43c6bfeda065fe2c4c11765bf838789bd0bb5de,0xc43c6bfeda065fe2c4c11765bf838789bd0bb5de,route:4c8c09+token+fee,0,0xc5cce04671736604e8cb779e534ad0d0501f5758,
0xd72f3c88ecd8450ed9a4d941fb3758c07066981d9f127f9f8adee343ca4ff383,2025-09-30 21:12:11.000 UTC,1028.757548729388,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0xa2691ac1e5776bb7d9a2e604f907b199eb1b5e95,
0xde8963b33a37b0d501e4c62a50d56962169039f78e92b4be3948c1082e6c0327,2025-09-30 21:11:35.000 UTC,315.900507035873,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,route:4c8c09+token+fee,0,0x2b8bb0136a733bb5253aeabfed8c76b56b08d6b3,
0x58176953466a86555c75ca2b7e1e7c11cf675725a58e0ead3443d9165d53182d,2025-09-30 21:11:11.000 UTC,5.881555958495835,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x2ca9242c1810029efed539f1c60d68b63ad01bfc,0x2ca9242c1810029efed539f1c60d68b63ad01bfc,route:4c8c09+token+fee,4,0x18209a36508e4245cdb2bc86a31a3011d5edba1c,
0x33b4138aac2ac093400378e087b62b68d298c4408b54381e9377893e66e83968,2025-09-30 21:10:35.000 UTC,313.70413996128565,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x1d425d5c3fe77f5f91f5582f2a98d4a94cb0549b,
0x126d3ddf94162ef48dd3253d4f2263c7273d33eb93d59f2da8f1c64ccc4d3037,2025-09-30 21:06:47.000 UTC,6.688438061523859,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x2ca9242c1810029efed539f1c60d68b63ad01bfc,0x2ca9242c1810029efed539f1c60d68b63ad01bfc,route:4c8c09+token+fee,4,0x18209a36508e4245cdb2bc86a31a3011d5edba1c,
0x5e609d4191c88135f59c72823c13bc97753296c0411f2ed41eb639f5a5605ebe,2025-09-30 21:05:59.000 UTC,12.768299616,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,route:4c8c09+token+fee,4,0x412b9f917ea51238371dbde84a9d81b2807b72bc,
0x2faa7f1d1396736843a6fbebd676ea53263ecb542e5932d1c4457da6cc439211,2025-09-30 21:05:47.000 UTC,13.182898632146388,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,route:4c8c09+token+fee,0,0xd1c10adb63f3edc91c46aff2ebe16b2ec686cd75,
0xa47a75a059c5d3c496f40933cc4d630975a9701228f5cff71f74d9ba726b5122,2025-09-30 21:05:23.000 UTC,155.30884479289253,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,route:4c8c09+token+fee,0,0x44857ce47b5cbc67276cdc0f561d8b8fb77a929b,
0x3fcecc113b80b173a06adb9177e6818cb5bcbcf36d95d12696bd8cc9d5b082be,2025-09-30 21:02:35.000 UTC,33.29374158912,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0x4a183b7ed67b9e14b3f45abfb2cf44ed22c29e54,0x4a183b7ed67b9e14b3f45abfb2cf44ed22c29e54,,,route:4c8c09+token+fee,0,0x282e0b3aca75f8e5cf78cbe6a333500cd5494c09,
0xe01ce5597cd6e8e6b026fd5b1967bdcf13a5a3b950b7302d67d83fb58a07dc08,2025-09-30 21:01:59.000 UTC,121.71244452288,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,,,route:4c8c09+token+fee,0,0x6ad02f7d2fd405f6afe895e058173514bb515f9d,
0x71a8f3a9756171cc950ad9a9043aa53f44fa2e951b6b27461751955bd8e8c893,2025-09-30 21:01:59.000 UTC,306.38423797904613,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x66761fa41377003622aee3c7675fc7b5c1c2fac5,0x66761fa41377003622aee3c7675fc7b5c1c2fac5,route:4c8c09+token+fee,4,0xe2c511df9fef01cc8c0795700a7ce66c845c35b5,
0xf445878677eaaaa95ab288cf31a230acb9dc4fbcc1fa37239e4c255b9371f92f,2025-09-30 21:01:59.000 UTC,316.2327124890177,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,route:4c8c09+token+fee,4,0xe6b3c47aa19824f2bde79ed12d4105b73f802484,
0x9e50e96a89b64e77fd573190a8f6215165b4c1198aa6b4b1232d7a02ad2814ca,2025-09-30 21:01:23.000 UTC,72.583525583453,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,,,,,route:not_found,0,0x38475e610421db3fc9de80262288bd1ad641d2d3,
0x12d179114ef63c00efb68b0b7f3afa9cb1daa952b89d723c1ef88a68803bb290,2025-09-30 21:00:59.000 UTC,7.209272124996777,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,route:4c8c09+token+fee,0,0xaf06fd16e68c67c422a76193a2867f8414515a55,
0x24a7a0a3661401081c7d78721dea45666584b05f48b4490595ae67c04814db47,2025-09-30 21:00:11.000 UTC,12.991817610037966,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,route:4c8c09+token+fee,0,0x06279a41aa306e1a8e637d328cfe40c4c4e05971,
0xbea2e3e5d3aac795d06be240bb2fe0a4f5aad5ff3171d86a85fcd438f068c8c6,2025-09-30 20:59:23.000 UTC,142.32171845211198,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0x8d413db42d6901de42b2c481cc0f6d0fd1c52828,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,route:4c8c09+token+fee,4,0x0df768dd35bc0f939b5ce308796a21ca3b7b5bef,
0xee699eea086d44404d8fc13695f6826cfe4486c9894b126b6931d910e0de2ffb,2025-09-30 20:58:23.000 UTC,259.76293880547763,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,route:4c8c09+token+fee,4,0x3b60e3a06af5aa4da178aade658211a0d3f51222,
0x2bf80ef47dc19d0540414cd8fd10521f0cd6c36fa406280bde26fa9a3b7ea21c,2025-09-30 20:57:35.000 UTC,418.159720997217,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,,,route:4c8c09+token+fee,0,0x22e208cc36f43a334f415faab797ee5c9d61aafe,
0xd8e11924e1b5477d481d047f9fa13569d2efd52e1c1437839501f0aa59d0a143,2025-09-30 20:57:23.000 UTC,419.23642036842074,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,route:4c8c09+token+fee,4,0x3b60e3a06af5aa4da178aade658211a0d3f51222,
0x338cd4dd743f1b9e0ff7a64471f4944125052b5e7983cea80e8dbeb99d6684d6,2025-09-30 20:56:47.000 UTC,416.5754764143948,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,route:4c8c09+token+fee,4,0xcf06a5d47fb01fca528baa474a4953f9f92ee333,
0x3201e1dc0edf098c874879a373c8e66cc5781b02ff758a0c290753e9b08a7dd6,2025-09-30 20:56:11.000 UTC,550.925041842207,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0xb1f05c103cdd519e9f9785cda23c03635a598be4,0x6b175474e89094c44da98b954eedeac495271d0f,0x6b175474e89094c44da98b954eedeac495271d0f,route:4c8c09+token+fee,0,0x91ffcf1d9d58e973d32bf0513a540e2604ae07cb,
0x6584b6e453ded203b22069a149273aca23a399dc1aa92717d98ab421ab389b43,2025-09-30 20:55:59.000 UTC,267.5869139964014,0x1111111254eeb25477b68fb85ed929f73a960582,V5,V5,12aa3caf,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,0x30a25cc9c9eade4d4d9e9349be6e68c3411367d3,route:4c8c09+token+fee,4,0xcf06a5d47fb01fca528baa474a4953f9f92ee333,
0x1176d305cfa6eda4e600987c1923428fa850d5dc701f8eb07e75961e6e929d17,2025-09-30 20:55:35.000 UTC,12.988655428547233,0x111111125421ca6dc452d289314280a0f8842a65,V6,V6,07ed2379,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,0xcedbea37c8872c4171259cdfd5255cb8923cf8e7,route:4c8c09+token+fee,0,0xb30b78fbde66de506602da10147cdf9c5600de8d,
